NEIGHBORHOOD,APN,LANDUSE,BESTSTAT,BESTDATE,NAMEADDR,Alias,CASENO,DESCRIPT,BPAPPLNO,PROPUSE,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FirstFiled,EntitledStatus,SPONSOR,CONTACT,CONTACTPH,PLANNER,SOURCE,SUPE_DIST,PLN_DISTRICT,PLN_AREA,HEIGHT,ZONING_SIM,ZONE_NAME,geography
Outer Mission,APN 7099009,Resident,CONSTRUCTION,01/14/2016,5670 MISSION ST,,,,201310250236,2 FAMILY DWELLING,"ERECT 3-STORY, 2 DWELLING UNITS, TYPE 5, NEW BUILDING. (NEW ADDRESS WILL BE 555-557 ELLINGTON AVENUE",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/25/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,"(37.71047909430, -122.44863244400)"
Inner Sunset,APN 1732037,Resident,BP FILED,02/07/2014,1236 19TH AV,,,,201402078043,APARTMENTS,"CONVERT SINGLE FAM RESIDENCE INTO 3 UNITS, ADD 3RD FLOOR & REAR YARD ADDITION. EACH UNIT HAS 1 KITCH",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/07/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Inner Sunset,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.76468243670, -122.47687473100)"
Outer Richmond,APN 1456013,Resident,BP REINSTATED,02/20/2013,471 24TH AV,,,,201301298999,APARTMENTS,"VERTICAL & hORIZONTAL ADDITION TO (E) BUILDING TO BECOME 4 STORY, 3 FAMILY DWELLINGS. REFERENCE TO E",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/29/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.78074503470, -122.48403840900)"
Noe Valley,APN 3656010,Mixres,BP ISSUED,11/04/2015,4024 24TH ST,,2014.1426,Conditonal Use Authorization to expand an existing bar in excess of the principally permitted use size.,201405206229,APARTMENTS,"RENOVATION OF (E) MIXED-USE BLDG: REPAIR FIRE DAMAGE THROUGHOUT, STRUCTURAL UPGRADE, HORIZONTAL ADDI",4,2,0,0,4194,886,0,0,0,0,0,0,0,0,4194,886,0,0,05/20/2014,-1,,,,MSMITH,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,"(37.75163296900, -122.43252693900)"
Mission,APN 3588001C,Resident,PL APPROVED,02/03/2012,3527 18TH ST,,2011.0527,add two units to (e) 8 unit building,,,,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/19/2011,-1,Reza Khoshnevisan,Reza Khoshnevisan,922-0200x108,DSANCHEZ,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Mission,Mission (EN),55-X,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,"(37.76147673620, -122.42223868700)"
Potrero Hill,APN 4108010,Resident,BP REINSTATED,09/08/2010,1067 TENNESSEE ST,,,,201006073967,APARTMENTS,PROPOSE NEW UNDERGROUND GARAGE WITH 3 CAR GARAGE PARKING. PROPOSED HORIZONTAL ADDITION AT 1ST FLOOR,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/07/2010,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.75843733540, -122.38898749800)"
Ocean View,APN 7138056,Mixres,PL FILED,08/15/2014,115 PLYMOUTH AV,,2014.1204,Demolition of two-family dwelling and construction of four-family dwelling.,,,,4,2,0,0,1050,1050,0,0,0,0,0,0,0,0,1050,1050,0,0,08/15/2014,0,David Madfes,David Madfes,602,MSMITH,CASE TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER","(37.71196969360, -122.45623165200)"
Marina,APN 0518029,Resident,BP FILED,07/17/2015,1973 GREENWICH ST,,2015-009869PRJ,,201507171855,2 FAMILY DWELLING,TO ERECT A 4 STORIES OF 2 FAMLY DWELLINGS,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/17/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.79905962960, -122.43202434300)"
Bernal Heights,APN 5513011,Resident,BP FILED,07/09/2014,1513 YORK ST,,2013.0655,"Develop four dwelling units on vacant mid-block parcels (lots 11 and 12) with access from York Street (lot 20). Total of four 4-story, 30'tall buildings and 12 parking spaces (13,000 sf).",201407090780,1 FAMILY DWELLING,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/09/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74812528750, -122.40686730500)"
Bernal Heights,APN 5503018,Resident,BP ISSUED,12/23/2015,3123 FOLSOM ST,,2014.1109,Demolish existing one-story garage and construct a 3-story building with two residences and four parking spaces . Variance request to the parking requirement of Bernal Heights SUD.,201407302522,2 FAMILY DWELLING,"TO ERECT 3 STORIES, NO BASEMENT, 2 FAMILY DWELLING, TYPE V CONSTRUCTION.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/17/2014,-1,Karl Lee,Jeremy  Schaub,682-8060x103,JSPEIRS,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74791144440, -122.41332594800)"
Potrero Hill,APN 4094048,Resident,BP FILED,07/02/2014,925 KANSAS ST,,2013.1856,"The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and",201407020336,2 FAMILY DWELLING,"ERECT 5-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/02/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75809932730, -122.40258963000)"
Potrero Hill,APN 4094047,Resident,BP FILED,07/02/2014,929 KANSAS ST,,2013.1856,"The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and",201407020335,2 FAMILY DWELLING,"ERECT 5-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/02/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75803239950, -122.40258320000)"
Potrero Hill,APN 4094046,Resident,BP FILED,07/02/2014,931 KANSAS ST,,2013.1856,"The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and",201407020334,2 FAMILY DWELLING,"ERECT 4-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/02/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75796393930, -122.40257662200)"
Potrero Hill,APN 4094045,Resident,BP FILED,07/02/2014,935 KANSAS ST,,2013.1856,"The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and",201407020323,2 FAMILY DWELLING,"ERECT 4-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/02/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75789548000, -122.40257004500)"
Mission,APN 3502024,Resident,PL FILED,09/11/2014,140 DUBOCE AV,,2014.1392,"Variance request to the rear yard, open space, and exposure requirements to permit an addition that creates two additional dwelling units.",,,,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/11/2014,0,Greg Schank,Troy Kashnipour,415.431.0869,,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Mission,Market and Octavia,50-X,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,"(37.77001322080, -122.42349678300)"
Mission,APN 3641076,Resident,CONSTRUCTION,04/24/2015,930 SHOTWELL ST,,2012.0885,"Construct new 3 stroy + garage/bassement, 2 unit residential building",201206112282,2 FAMILY DWELLING,"TO ERECT 4 STORIES, 2 UNITS DUPLEX BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/11/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75303235580, -122.41554089500)"
Presidio Heights,APN 1069045,Resident,BP ISSUED,02/05/2014,2882 -  2890 GEARY BL,,2011.083,Rear yard variance,201106027305,,"CONVERSION OF TWO EXISTING OFFICE INTO TWO RESIDENTIAL APARTMENT UNIT, UNIT #1 1,499 SQ FT, UNIT #2",7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/02/2011,-1,Lam Chan,Lam Chan,415-440-4543,CLAMOREN,CASE TRACKING,SUPERVISORIAL DISTRICT 2,Richmond,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.78237977430, -122.44986346900)"
Nob Hill,APN 0156036,Resident,BP FILED,08/13/2014,160 BERNARD ST,,,,201408133730,2 FAMILY DWELLING,ERECT 4 STORIES FOR  2 DWELLING UNITS.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/13/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,65-A,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.79632821400, -122.41605980300)"
Inner Richmond,APN 1435017,Resident,BP FILED,07/08/2011,3932 GEARY BL,,,,201107089769,APARTMENTS,EXISTING TWO OFFICE UNITS ON 3RD FL TO BE CONVERTED BACK TO RESIDENTIAL USE. NEW STUD WALLS AS SHOWN,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/08/2011,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.78144670530, -122.46167803900)"
Outer Richmond,APN 1453013,Resident,BP ISSUED,03/24/2015,363 21ST AV,,2013.0826,Demo existing structure and construct a new 4-story 3-unit building,201306210141,2 FAMILY DWELLING,"ERECT 4-STORY, 3-UNIT DWELLING RESIDENCE",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/19/2013,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.78102771900, -122.48083375500)"
Castro/Upper Market,APN 2628026,Resident,CONSTRUCTION,01/13/2016,560 ROOSEVELT WY,,2011.0932,Construct new two-unit residential building,201108263406,2 FAMILY DWELLING,NEW BUILDING.  SPRINKLERS UNDER SEPARATE PERMIT,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/26/2011,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Buena Vista,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76256862140, -122.44492843500)"
Potrero Hill,APN 4101004,Resident,BP FILED,12/30/2011,534 TEXAS ST,,2012.1127,,201112301504,2 FAMILY DWELLING,"ERECT NEW 4 STORY, 1 BASEMENT, TYPE 5, 2 FAMILY DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/30/2011,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75953003700, -122.39557612400)"
Crocker Amazon,APN 6472022,Resident,BP FILED,12/31/2013,5875 MISSION ST,,,,201312315336,1 FAMILY DWELLING,"HORIZONTAL & VERTICAL ADDITION, ADD THREE STORIES TO EXISTING SINGLE STORY STRUCTURE. CONVERT EXISTI",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/31/2013,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,NCD,EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT,"(37.70869175690, -122.45177706100)"
Bernal Heights,APN 5683012,Resident,BP APPROVED,05/14/2015,906 CORTLAND AV,,2012.1048,,201203146037,2 FAMILY DWELLING,ERECT 3 STORIES OF 2 DWELLING UNITS.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/14/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE","(37.73877309170, -122.41361360300)"
Outer Mission,APN 6800004,Resident,BP FILED,07/09/2015,10 TINGLEY ST,,,,201507091034,1 FAMILY DWELLING,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/09/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72856383840, -122.43210261800)"
Crocker Amazon,APN 6428001,Resident,BP FILED,01/24/2012,520 CARTER ST,,,,201201242770,2 FAMILY DWELLING,ERECT THREE STORY TWO FAMILY DWELLING RESIDENTIAL BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/24/2012,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.70903614950, -122.42375118000)"
Crocker Amazon,APN 6428007,Resident,BP REINSTATED,01/30/2012,103 WALBRIDGE ST,,,,201201242773,2 FAMILY DWELLING,ERECT THREE STORY TWO FAMILY DWELLING RESIDENTIAL BUILDING.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/24/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.70905937690, -122.42383250700)"
Bernal Heights,APN 6634026,Resident,CONSTRUCTION,12/18/2014,149 29TH ST,,2012.1451,"Demo existing building and construct 4-story, 2-unit residential building",201203125903,2 FAMILY DWELLING,ERECT 4 STORIES OF 2 DWELLING UNITS.TYPE 5 CONSTRUCTION,2,2,0,0,0,-1410,0,0,0,0,0,0,0,0,0,-1410,0,0,03/12/2012,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.74365097140, -122.42342488300)"
Bernal Heights,APN 6692002,Resident,BP FILED,01/20/2011,3808 MISSION ST,,,,201101208700,APARTMENTS,TO CORRECT VIOLATION#201066546 AND TO,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/20/2011,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Bernal Heights,,40-X,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE","(37.73578135080, -122.42486668200)"
Western Addition,APN 1080008,Resident,BP APPROVED,12/19/2008,1419 BRODERICK ST,,,,200702214545,APARTMENTS,VERTICAL AND HORIZONTAL ADDITION AND REMODELING FROM ONE FAMILY RESIDENCE TO THREE FAMILY RESIDENCES.,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/21/2007,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Western Addition,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.78346820740, -122.44151470200)"
Mission,APN 3575063,Mixres,CONSTRUCTION,12/16/2015,3249 17TH ST,,2005.1155,"Project would require a rezoning from RH-2 to NC-3. Proposed project construct a three-story addition to the existing one building on the project site. The new building would be four-story, 50-feet in height consisting of 1,996 sq. ft. ground floor resta",201003248891,,"SITE PERMIT-REMODEL OF (E) 1 STORY STRUCTURE. ALTERED BUILDING WILL CONTAIN 4 STORIES, CONSISTING OF",3,2,0,0,1996,1996,0,0,0,0,0,0,0,0,1996,1996,0,0,12/15/2005,-1,Amadeo  Gonzales,Patricia  Solis,415-541-0288,,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),55-X,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,"(37.76327904760, -122.41826440500)"
Inner Sunset,APN 2630018,Resident,BP ISSUED,09/25/2013,1169 STANYAN ST,,,,200803288288,2 FAMILY DWELLING,"New construction of two residential units, 3 STORIES.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/28/2008,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Inner Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76287312180, -122.45255312400)"
Mission,APN 3569017,Resident,BP FILED,02/18/2015,3312 17TH ST,,,,201502188620,APARTMENTS,1. HORIZ ADDITION @1ST STORY COM'L 2. INFILL OF (E) LIGHTWELL @2ND * 3RD STORY 3. (N) ENTRY & EXIT S,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/18/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),55-X,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.76357910960, -122.41997704300)"
Western Addition,APN 0840001,Resident,PL FILED,11/12/2015,355 LAGUNA ST,,2015-001547PRJ,Conversion of existing auto parking to two (2) dwelling units.,,,,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/11/2015,-1,Syncopated Architecture,,4155589843,DLINDSAY,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,Market and Octavia,40-X,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,"(37.77438343700, -122.42601997400)"
Parkside,APN 2394046,Mixres,BP ISSUED,12/31/2012,2115 TARAVAL ST,,2008.0794,"Existing 2,150 sqft, 22'-0"" two-unit residence with ground floor commercial. Proposed 5,000 sqft, 50'-0"" two-unit residence with office and commercial space.",201007146550,,"TO ERECT 4 STORIES, 2 UNITS, MIXED USE BUILDING.",2,2,0,0,2000,1000,0,0,0,0,1000,1000,0,0,1000,0,0,0,06/17/2009,-1,Kevin Ma,Kevin Ma,415.279.1578,MACEVES,CASE TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,50-X,NCD,TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,"(37.74222190100, -122.48889290500)"
Marina,APN 0498020,Resident,BP FILED,03/20/2015,2920 FRANKLIN ST,,,,201503201461,2 FAMILY DWELLING,"ERECT 4-STORY, NO BASEMENT, TYPE 5B, 2 DWELLING UNITS BUILDING.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/20/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.80153739270, -122.42599505200)"
Inner Richmond,APN 1538036,Resident,BP FILED,03/16/2015,4221 GEARY BL,,,,201503160999,APARTMENTS,"REMODEL (E) 1ST & 2ND FL, ADD 2 (N) RESIDENTIAL UNIT ON TOP OF (E) BLDG (VERTICAL ADDITION).",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/16/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.78069079640, -122.46470924700)"
South of Market,APN 3729042,Resident,BP FILED,05/29/2014,716 CLEMENTINA ST,,2015-001273PRJ,"AT GROUND FLOOR, CONVERT EXISTING STORAGE SPACE TO TWO NEW LIVING UNITS; AND INFILL SPACE AT THE REAR UNDER (E) LIVING SPACE ABOVE",201405296933,APARTMENTS,"AT GROUND FLOOR, CONVERT EXISTING STORAGE SPACE TO TWO NEW LIVING UNITS; AND INFILL SPACE AT THE REAR UNDER (E) LIVING SPACE ABOVE.--MAHER--COMPLIANCE WITH ORDINANCE NO.155-13. NOT REQUIRED.",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/29/2014,0,,,4156523047,JBANALES,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,45-X,RED-MX,RESIDENTIAL ENCLAVE-MIXED,"(37.77523362290, -122.41112798900)"
Noe Valley,APN 6580035,Resident,BP FILED,12/21/2015,4043 CESAR CHAVEZ ST,,,,201512215657,2 FAMILY DWELLING,"CONSTRUCT (N) 4 STORIES, NO BASEMENT, 2 UNITS DWELLING RESIDENCE.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/21/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74726120990, -122.43022580000)"
Mission,APN 3612017,Resident,BP FILED,04/10/2015,2944 21ST ST,,,,201504103363,APARTMENTS,LEGALIZATION OF DWELLING UNIT INSTALLED W/O PERMIT PER ORD #43-14. NO BULD HEIGHT INCREASE & INTERIO,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/10/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.75753710570, -122.41329986800)"
Potrero Hill,APN 4096005,Resident,CONSTRUCTION,03/22/2010,746 CAROLINA ST,,2006.0047,"Front setback variance to construct a new two family dwelling unit on a vacant lot. Building would be three-story over garage, totaling 5,838 sq. ft.",200506074411,2 FAMILY DWELLING,TO ERECTA NEW 3 STORY 2 DWELLING UNIT,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/07/2005,-1,William L. Riddle,William L. Riddle,415 656 3528,JBANALES,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75919402460, -122.40040424300)"
Inner Sunset,APN 1736033,Resident,CONSTRUCTION,06/06/2014,1208 15TH AV,,,,200605111391,2 FAMILY DWELLING,TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/11/2006,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Inner Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76525058600, -122.47254232300)"
Western Addition,APN 1150005,Resident,BP FILED,05/07/2015,813 LYON ST,,,,201505075705,APARTMENTS,HORIZONTAL & VERTICAL ADDITION TO (E) 2 STORY SINGLE FAMILY HOUSE. PROPOSED 2 ADDITIONAL RESIDENTIAL,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/07/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.77858311150, -122.44392372400)"
Castro/Upper Market,APN 2628035,Resident,BP FILED,03/20/2015,301 UPPER TR,,,,201503201416,1 FAMILY DWELLING,Multiple Permits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/20/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Buena Vista,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76210210270, -122.44558659100)"
Inner Richmond,APN 1537027,Resident,BP FILED,09/18/2006,470 08TH AV,,2007.0316,"Addition and alteration to existing three unit building built in 1907.  Addition to front, rear and vertically.",200609182560,APARTMENTS,"REAR, FRONT & VERTICAL ADDITION TO EXISTING BUILDING INCLUDING ALTERATIONS TO EXISTING BUILDING PORTIONS TO REMAIN. ELECTGRICAL & PLUMBING BY SEPERATE PERMIT.",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/18/2006,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.77956648820, -122.46599861600)"
Bernal Heights,APN 5504001H,Resident,CONSTRUCTION,05/03/2011,3119 HARRISON ST,,2007.042,ALLOW A 14-FOOT WIDE PROJECTING BAY AT THE CORNER & REDUCE PARKING REQUIREMENT FROM 7 SPACES TO 6.,200701121612,2 FAMILY DWELLING,ERECT 3 STORIES 2 UNITS BUILDING,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/12/2007,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74783694560, -122.41112748700)"
Bayview,APN 4645017,Resident,PL FILED,09/26/2014,870 INNES AV,,2014.1486,"Change of use from warehouse to two-unit residential. New entries, windows, and exterior siding",,APARTMENTS,,2,2,0,0,0,-6061,0,0,0,0,0,0,0,-6061,0,0,0,0,09/26/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,India Basin Shoreline/Area C / Bayview Hunters Point,40-X,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE","(37.73196829930, -122.37517322900)"
Potrero Hill,APN 4224018,Resident,BP APPROVED,12/01/2009,1036 MISSISSIPPI ST,,2007.0713,"New construction of two buildings with two units each, total of four units on a vacant lot.",200705010119,2 FAMILY DWELLING,TO ERECT A NEW 3 STORY 2 DWELLING UNITS,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/01/2007,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.75327718290, -122.39400858600)"
