NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
Inner Sunset,2039044,427 MORAGA ST,2,1,07/03/2008 12:00:00 AM,BP FILED,false,,,,,200807035945,2 FAMILY DWELLING,"NEW 3RD FLOOR ADDITION TO (E); ADD MASTER BEDROOM W/BATH, BEDROOM AND FULL BATH AT GROUND FLOOR, INT",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,427 Moraga St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.756267000000001, -122.46737899999999)"
Outer Richmond,1511034,546 34TH AV,2,1,09/18/2014 12:00:00 AM,BP ISSUED,true,2013.0817,Demo single family dwelling & build new 3 story building,Approved,05/13/2014,201305156961,2 FAMILY DWELLING,,ISSUED,09/18/2014,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/18/2013,Resident,546 34th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Gabriel  Ng,Gabriel  Ng,"(37.778709900000003, -122.493982)"
Inner Richmond,1168040,2755 MCALLISTER ST,2,1,08/08/2014 12:00:00 AM,BP ISSUED,true,,,,,201309247562,2 FAMILY DWELLING,"HORIZONTAL EXTENSION. GROUND FLOOR NEW UNIT: 1 BEDROOM, 1 STUDY, FULL BATH.  2/FL: RELOCATE DINING R",ISSUED,08/08/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2755 McAllister St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,,,"(37.775264, -122.457374)"
Outer Mission,3116023,300 FOERSTER ST,2,1,09/26/2014 12:00:00 AM,BP FILED,false,,,,,201409267403,2 FAMILY DWELLING,LEGALIZATION OF 2 UNIT . ORDINANCE 43-14.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,300 Foerster St,,false,BP Filed,Single Family,0,0,Public,P,PUBLIC,40-X,,,"(37.730431000000003, -122.44868200000001)"
Presidio Heights,1068014,30 BLAKE ST,2,1,10/08/2014 12:00:00 AM,BP APPROVED,true,,,,,201404234009,2 FAMILY DWELLING,VERTICAL ADDITION. REMODEL AND NEW UNIT TO BE ADDED UP TOP. ALSO INCL A 2-STORY ADDITION IN REAR. FO,APPROVED,10/08/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,30 Blake St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.783203999999998, -122.451194)"
Mission,4149019,2938 23RD ST,2,1,04/01/2015 12:00:00 AM,CONSTRUCTION,true,2014.0175,Variance request to the rear yard and exposure requirement of P.C. Sec. 134 and 140 to permit the legalization of a second dwelling unit withing the RH-2 Zoning District.,Withdrawn,10/08/2014,201306250395,2 FAMILY DWELLING,"CONVERT NON-HABITAL SPACE ON 1ST FLOOR TO IN-LAW UNIT - 1 BATHROOM, 1 BEDROOM, 1 KITCHEN TO ADD WITH",NO ENTRY/NO PRO,04/01/2015,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/31/2014,Resident,2938 23rd St,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Annette Monteil,Annette Monteil,"(37.754250999999996, -122.411073)"
Western Addition,1055021,2909 BUSH ST,2,1,01/20/2014 12:00:00 AM,PL APPROVED,true,2013.0129,Rear yard & parking variance to expand existing rear cottage and create 2nd dwelling unit,Approved,01/20/2014,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/05/2013,Resident,2909 Bush St,,true,PL Approved,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Jeremy Paul,Jeremy Paul,"(37.785713000000001, -122.444896)"
Marina,0948018,2851 FILBERT ST,2,1,08/23/2010 12:00:00 AM,PL FILED,false,2010.0723,Rehabilitation and alteration of historic cottage located on the rear of the property line and proposed new construction of a residential building located on the primary elevation of the lot.,,,201205251254,1 FAMILY DWELLING,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/23/2010,Resident,2851 Filbert St,,false,Planning Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,William Pashelinsky,William Pashelinsky,"(37.796384000000003, -122.44636199999999)"
Outer Richmond,1510022,4324 ANZA ST,2,1,11/09/2012 12:00:00 AM,CONSTRUCTION,true,2012.0102,Horizontal/3rd floor vertical addition and interior remodeling.,,,201101118224,2 FAMILY DWELLING,ENLARGE PARKING GARAGE @ GROUND LEVEL. PROPOSED HORIZOTAL ADDITION & INTERIOR REMODELING TO ACCOMMOD,"LATH, EXTERIOR",11/09/2012,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/20/2011,Resident,4324 Anza St,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Reza Khoshnevisan,Reza Khoshnevisan,"(37.777951999999999, -122.49475)"
Outer Mission,6771032,279 MONTEREY BL,2,1,01/16/2015 12:00:00 AM,CONSTRUCTION,true,2008.0374,Demoiltion of existing single-family residence.,CEQA,,200906261414,2 FAMILY DWELLING,"TO ERECT 4 STORY, 2 DWELLING UNITS",REINFORCING STE,01/16/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/25/2008,Resident,279 Monterey Blvd,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.731461000000003, -122.441411)"
Bernal Heights,5524045,3301 FOLSOM ST,2,1,03/06/2008 12:00:00 AM,BP FILED,false,,,,,200803066478,2 FAMILY DWELLING,ADD ONE ADDITIONAL UNIT ON 1ST FLOOR AND BASEMENT. NO EXTERIOR EXPANSION,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,3301 Folsom St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.745061999999997, -122.413265)"
Marina,0529002,2727 GOUGH ST,2,1,08/14/2009 12:00:00 AM,BP FILED,false,,,,,200908144854,2 FAMILY DWELLING,Add new dwelling unit/ new kitchen unit in (E) basement floor. All remodeling in basement floor appr,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2727 Gough St,,false,BP Filed,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,,,"(37.798521999999998, -122.427678)"
Pacific Heights,0634016A,2695 SACRAMENTO ST,2,1,11/29/2010 12:00:00 AM,PL APPROVED,true,2010.0516,Parking Variance to convert a LCU into a residential unit,Approved,11/29/2010,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,-1000,0,0,0,0,-1000,0,06/30/2010,Resident,2695 Sacramento St,,true,PL Approved,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,Jill Tardy,Jill Tardy,"(37.789245000000001, -122.437106)"
Parkside,2451002D,2695 45TH AV,2,1,03/23/2015 12:00:00 AM,BP APPROVED,true,,,,,201408284951,2 FAMILY DWELLING,"ONE UNIT LEGALIZATION PER ORDINANCE 43-14. THREE BEDROOM, ONE BATHROOM, ONE FAMILY PER PA #200303119",APPROVED,03/23/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2695 45th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",100-A,,,"(37.736108999999999, -122.502591)"
Russian Hill,0069011,2626 LARKIN ST,2,1,12/15/2014 12:00:00 AM,CONSTRUCTION,true,2009.0907,"Construction of a new 4-story, 2-unit residential building.",Approved,11/05/2009,200809262740,2 FAMILY DWELLING,TO ERECT A NEW FOUR STORY TWO FAMILY DWELLING UNIT.,"ROUGH FRAME, PA",12/15/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/28/2009,Resident,2626 Larkin St,,true,Construction,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,,,"(37.802238000000003, -122.42105100000001)"
Inner Richmond,1423015,261 10TH AV,2,1,07/15/2014 12:00:00 AM,BP ISSUED,true,2013.1205,To convert an existing non-complying garage structure to a dwelling unit,,,201307161993,1 FAMILY DWELLING,"CONVERT (E) GARAGE TO SINGLE FAMILY DWELLING. ADD (N) KITCHEN, (N) BATHROOM IN (E) BUILDING ENVELOPE",ISSUED,07/15/2014,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/2013,Resident,261 10th Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,Gregory Ladigin,Gregory Ladigin,"(37.783465999999997, -122.468582)"
Castro/Upper Market,2614048,259 ROOSEVELT WY,2,1,02/25/2014 12:00:00 AM,BP FILED,false,2014.0445,Discretionary Review for the demolition and reconstruction project to remove one existing dwelling unit and replace it with a two unit structure.,,,201402259241,,DEMOLISH 2 STORIES SINGLE FAMILY RESIDENCE.,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/27/2014,Resident,259 Roosevelt Way,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Andrew J Greene,Warner Schmalz,"(37.765700000000002, -122.440425)"
Haight Ashbury,1269087,281 FREDERICK ST,2,1,02/21/2014 12:00:00 AM,BP FILED,false,,,,,201402219049,2 FAMILY DWELLING,TO COMPLY WITH NOV# 201451101. CONVERSION OF PART OF BASEMENT INTO A SEPARATE UNIT & KITCHEN ADDITIO,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,281 Frederick St,,false,BP Filed,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,,,"(37.766961000000002, -122.447525)"
Ocean View,6942028,344 HOLLOWAY AV,2,1,05/03/2013 12:00:00 AM,PL FILED,false,2013.0553,Remodel and addition of a new dwelling unit to existing single family structure,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/03/2013,Resident,344 Holloway Ave,,false,Planning Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Gerald Green,Gerald Green,"(37.722062999999999, -122.456912)"
Noe Valley,2805036,4267 23RD ST,2,1,07/11/2011 12:00:00 AM,BP FILED,false,,,,,201107119929,2 FAMILY DWELLING,"VERTICAL & HORIZONTAL EXTENSION OF A TWO SROTY SINGLE FAMILY BUILDING TO BECOME THREE STORY, TWO UNI",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,4267 23rd St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.752425000000002, -122.437938)"
Noe Valley,3625040,421 ALVARADO ST,2,1,02/06/2009 12:00:00 AM,BP FILED,false,,,,,200902061524,2 FAMILY DWELLING,Add a residential unit at the rear of an existing single family residence.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,421 Alvarado St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.753763999999997, -122.430452)"
Noe Valley,6503006,42 HOMESTEAD ST,2,1,08/12/2013 12:00:00 AM,BP FILED,false,,,,,201308124073,2 FAMILY DWELLING,"ADD 1 DWELLING UNIT TO SINGLE FAM DWG, SEISMIC UPGRADE, HORIZ ADDITION AT ALL 3 FLOOR, VERTICAL ADDI",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,42 Homestead St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.750205000000001, -122.439257)"
Noe Valley,2804041,4141 23RD ST,2,1,12/05/2013 12:00:00 AM,CONSTRUCTION,true,,,,,201112160822,2 FAMILY DWELLING,REMODEL FRONT ENTRY STEPS AND GARDEN. ADDITION TO REAR OF RESIDENCE. ADD A LIVING UNIT ON THE GARDEN,CORRECTION REQU,12/05/2013,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,4141 23rd St,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.752597000000002, -122.43510000000001)"
Haight Ashbury,1227003,413 SHRADER ST,2,1,11/12/2014 12:00:00 AM,BP ISSUED,true,,,,,201401176600,2 FAMILY DWELLING,REMODEL INTERIOR OF (E) BLDING AS INDICATED ON PLANS. REPLACE (E) WINDOWS WITH NEW WINDOWS TO MATCH,ISSUED,11/12/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,413 Shrader St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,,,"(37.771031000000001, -122.45205799999999)"
Western Addition,0859013,352 WALLER ST,2,1,03/06/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201408214409,2 FAMILY DWELLING,"UNIT LEGALIZATION ORDINANCE 43-14 AT REAT BUILDING (LEGAL SFD), LEGALIZE 2ND UNIT #352B WALLER STREE",SHEETROCK NAILI,03/06/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,352 Waller St,,true,Construction,Single Family,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,,,"(37.771276, -122.429237)"
Castro/Upper Market,2654031,31 URANUS TR,2,1,01/06/2014 12:00:00 AM,BP ISSUED,true,,,,,201208298556,2 FAMILY DWELLING,"REVISION TO PA#2009/08/21/5271. CONVERT (E) 4 STORY S.F.R TO (2) 2 STORY RES'D, CONSTRUCT 1 HR. CORR",ISSUED,01/06/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,31 Uranus Ter,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.761415, -122.445239)"
Castro/Upper Market,2659054,349 CORBETT AV,2,1,09/16/2014 12:00:00 AM,BP ISSUED,true,,,,,201307292973,2 FAMILY DWELLING,INSTALL ONE RESIDENTIAL DWELLING UNIT AT LOWER LEVEL. LEGALIZE (E) 2ND UNIT.,ISSUED,09/16/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,349 Corbett Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Public,P,PUBLIC,40-X,,,"(37.759818000000003, -122.444755)"
Outer Richmond,1405045,322 29TH AV,2,1,05/10/2013 12:00:00 AM,CONSTRUCTION,true,,,,,201106238762,2 FAMILY DWELLING,CONVERT SINGLE DWELLING UNIT INTO 2 UNITS RESIDENTIAL W/ ADDITION TO REAR OF BUILDING INCLUDING NEW,"LATH, EXTERIOR",05/10/2013,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,322 29th Ave,,true,Construction,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.783219000000003, -122.488927)"
Crocker Amazon,6489035,336 HANOVER ST,2,1,08/06/2014 12:00:00 AM,BP FILED,false,,,,,201408063130,2 FAMILY DWELLING,"LEGALIZE DWELLING UNIT, INSTALLED WITHOUT PERMIT PER ORDINANCE NO. 4314. CONVERT LAUNDRY AREA TO KIT",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,336 Hanover St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.708962, -122.44332)"
Ocean View,7003013,335 RALSTON ST,2,1,03/06/2015 12:00:00 AM,BP APPROVED,true,,,,,201408053038,2 FAMILY DWELLING,"1)REVISION TO APP#201407231936. LEGALIZE AS BUILT BATHROOMS, BEDROOMS, FAMILY ROOM, AND KITCHEN AT 1",APPROVED,03/06/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,335 Ralston St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.718355000000003, -122.468683)"
Outer Richmond,1567032,3339 ANZA ST,2,1,07/21/2014 12:00:00 AM,BP FILED,false,,,,,201407211747,2 FAMILY DWELLING,UNIT LEGALIZATION ORDINANCE 43-14. LEGALIZE (E) IN-LAW DWELLING UNIT AT GROUND FLOOR INCLUDE 1 BEDRO,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,3339 Anza St,,false,BP Filed,Single Family,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,,,"(37.778129, -122.48387)"
Ocean View,7003014,333 RALSTON ST,2,1,09/16/2014 12:00:00 AM,BP FILED,false,,,,,201409166416,2 FAMILY DWELLING,"REVISION TO APPLICATION 201407231955, LEGALIZED AS-BUILT KITCHEN AT 1ST FLOOR PER PLAN.",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,333 Ralston St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.718319000000001, -122.468683)"
Outer Mission,3146021,331 CAPISTRANO AV,2,1,08/06/2014 12:00:00 AM,BP FILED,false,,,,,201408063132,2 FAMILY DWELLING,LEGALIZE DWELLING UNIT WITHOUT PERMIT PER ORDINANCE NO 43-14. CONVERT LAUNDRY ROOM TO KITCHEN. (N) 1,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,331 Capistrano Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.726052000000003, -122.438373)"
Chinatown,0226007,605 KEARNY ST,2,1,08/17/2012 12:00:00 AM,CONSTRUCTION,true,2001.0249,,,,201207104487,2 FAMILY DWELLING,CHANGE OF USE FROM R3 (1 unit) to R3 (2 units).  (ref. 07/02/2012 email from planning dept.) Propose,"ROUGH FRAME, PA",08/17/2012,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,605 Kearny St,,true,Construction,Single Family,0,0,Mixed Use,CCB,CHINATOWN-COMMUNITY BUSINESS,50-N,,,"(37.7937662, -122.4047942)"
Bernal Heights,5721077,349 RICHLAND AV,2,1,03/29/2013 12:00:00 AM,BP FILED,false,,,,,201303293381,PRKNG GARAGE/PUBLIC,VERTICAL ADDITION AND REMODEL OF EXISTING GARAGE AND STORAGE AREA AT FRONT OF PROPERTY INTO RESIDENT,,,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,349 Richland Ave,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.735821000000001, -122.41846700000001)"
Noe Valley,6618003,1560 DOLORES ST,2,1,10/15/2014 12:00:00 AM,BP FILED,false,,,,,201410159002,2 FAMILY DWELLING,"HORIZONTAL & VERTICAL ADDITION TO EXISTING SINGLE FAMILY HOME, ONE ADDITION UNIT @ THIRD AND FOUR FL",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1560 Dolores St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.7443508669, -122.424816045)"
Parkside,2364047,2433 SANTIAGO ST,2,1,12/22/2014 12:00:00 AM,BP FILED,false,,,,,201412224319,2 FAMILY DWELLING,LEGALIZE (E) KITCHEN & ADD (N) LIVING ROOM AT GROUND FLOOR PER PLAN TO CREATE (N) UNIT.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2433 Santiago St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.743890346000001, -122.493528815)"
Parkside,2349038,2308 21ST AV,2,1,11/21/2014 12:00:00 AM,BP FILED,false,,,,,201411212273,2 FAMILY DWELLING,"REAR ADDITION AND INTERIOR REMODELING, ADD 2ND UNIT AT GROUND FL, 1 BEDROOM, 1 FAMILY ROOM & 1 BATHR",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2308 21ST Ave,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.744621382399998, -122.477640315)"
Parkside,2316001F,2227 33RD AV,2,1,10/08/2014 12:00:00 AM,BP FILED,false,,,,,201410088357,2 FAMILY DWELLING,LEGALIZE IN-LAW UNIT @ FIRST FLOOR PER ORDINANCE 43-14.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2227 33RD Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.745529488599999, -122.491244913)"
Bayview,5327019,1752 QUESADA AV,2,1,01/12/2015 12:00:00 AM,BP ISSUED,true,,,,,201411121245,2 FAMILY DWELLING,TO COMPLY WITH NOV# 201496742. CHANGE OF USE FROM SINGLE FAMILY TO 2 UNIT. WORK ON (E) KITCHEN & BAT,ISSUED,01/12/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1752 Quesada Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.734116152799999, -122.392280644)"
Potrero Hill,4158060,1019 KANSAS ST,2,1,10/29/2014 12:00:00 AM,BP FILED,false,,,,,201410290258,2 FAMILY DWELLING,LEGALIZATION OF (E) UNAUTHORIZED (WITH COOKING FARLURES) 2ND DWELLING UNIT. UNIT LEGALIZATION ORDINA,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1019 Kansas St,,false,BP Filed,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.75676, -122.40246)"
Excelsior,5934026,161 UNIVERSITY ST,2,1,12/12/2014 12:00:00 AM,BP FILED,false,,,,,201412123685,2 FAMILY DWELLING,LEGALIZE UNIT ON GROUND FLOOR PER ORDINANCE #43-13.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,161 University St,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.727966364799997, -122.41435223800001)"
Outer Sunset,1718046,3125 LINCOLN WY,2,1,11/06/2014 12:00:00 AM,BP FILED,false,,,,,201411060898,2 FAMILY DWELLING,"LEGALIZATION OF (E) UNAUTHORIZED ""IN LAW"" DWELLING UNIT AT 1/F. UNIT LEGALIZATION ORDINANCE 43-14.",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,3125 Lincoln Way,,false,BP Filed,Single Family,0,0,Residential,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",40-X,,,"(37.764558725500002, -122.49165419000001)"
Outer Sunset,1827013A,1477 26TH AV,2,1,11/21/2014 12:00:00 AM,BP FILED,false,,,,,201411212191,2 FAMILY DWELLING,LEGALIZE IN-LAW UNIT AT FIRST FLOOR PER ORDINANCE 43-14.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1477 26TH Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.7599102167, -122.48472371699999)"
Outer Sunset,1811031,1458 43RD AV,2,1,11/25/2014 12:00:00 AM,BP FILED,false,,,,,201411252498,2 FAMILY DWELLING,"LEGALIZE UNIT C GROUND FLOOR PER ORDINANCE 43-14. REMODEL BATH, RELOCATE KITCHENETTE, REBUILD STAIR",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1458 43RD Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.759478465800001, -122.50230731000001)"
Ocean View,6984011,135 MIRAMAR AV,2,1,12/23/2014 12:00:00 AM,BP FILED,false,,,,,201412234446,2 FAMILY DWELLING,"LEGALIZE NEW UNIT AT FINAL PLAN. 2 BEDROOMS, 1 BATH, 1 STORAGE AND KITCHEN.",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,135 Miramar Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.720692241000002, -122.458494351)"
Outer Sunset,1713036,1246 38TH AV,2,1,11/21/2014 12:00:00 AM,BP FILED,false,,,,,201411212188,2 FAMILY DWELLING,LEGALIZE IN-LAW UNIT AT FIRST FLOOR PER ORDINANCE 43-14.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1246 38TH Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.763644663800001, -122.497223758)"
Bayview,4757047,1167 PALOU AV,2,1,10/28/2014 12:00:00 AM,BP FILED,false,,,,,201410280026,2 FAMILY DWELLING,LEGALIZE IN LAW UNIT AT 1ST FLOOR PER ORINANCE 43-14,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1167 Palou Ave,,false,BP Filed,Single Family,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.729186179199999, -122.38299497600001)"
